schoolwebsite,domain,schdomain,ukdomain,urns,dqi
abbotsfordschool.org,abbotsfordschool.org,0,0,{126168},0
admin@seatonterrace.northumberland.sch.uk,seatonterrace.northumberland.sch.uk,1,1,{122168},1
almaprimary.org,almaprimary.org,0,0,{139562},0
altoncollege.ac.uk,altoncollege.ac.uk,0,1,{130691},0
alvastonjandvillagefed.co.uk,alvastonjandvillagefed.co.uk,0,1,{135116},0
assmfederation.co.uk,assmfederation.co.uk,0,1,{112911},0
augustinesprimary.weebly.com,augustinesprimary.weebly.com,0,0,{138508},0
ayjs.co.uk,ayjs.co.uk,0,1,{121553},0
backworthpark.com,backworthpark.com,0,0,{108580},0
barrow1618school.co.uk,barrow1618school.co.uk,0,1,{138268},0
batfordearlyyearscentre.org.uk,batfordearlyyearscentre.org.uk,0,1,{117068},0
battlehillps.org.uk,battlehillps.org.uk,0,1,{108595},0
beaufront-first-school.co.uk,beaufront-first-school.co.uk,0,1,{122222},0
beckersgreen.co.uk,beckersgreen.co.uk,0,1,{114794},0
bevendean.eschools.co.uk/,bevendean.eschools.co.uk,0,1,{114485},0
bilsdalecarltonschools.co.uk,bilsdalecarltonschools.co.uk,0,1,"{121608,121480}",0
bloomsburynscc.co.uk,bloomsburynscc.co.uk,0,1,{103138},0
bluebellparkknowsley.co.uk,bluebellparkknowsley.co.uk,0,1,{104497},0
bolneyschool.org.uk,bolneyschool.org.uk,0,1,{126007},0
bowness.ik.org,bowness.ik.org,0,0,{105197},0
bracebridge.lincs.sch.uk,bracebridge.lincs.sch.uk,1,1,{120428},0
brambles.teesvalleyeducation.co.uk,brambles.teesvalleyeducation.co.uk,0,1,{138559},0
bridge4learning.org,bridge4learning.org,0,0,{135749},0
broadheathprimaryschool.com,broadheathprimaryschool.com,0,0,{106289},0
brownmead.learning.academy,brownmead.learning.academy,0,0,{141320},0
burnbush.bristol.sch.uk,burnbush.bristol.sch.uk,1,1,{142032},0
cambridgepark.nelincs.sch.uk,cambridgepark.nelincs.sch.uk,1,1,{118152},0
camptonlower.org,camptonlower.org,0,0,{109441},0
canonpalmer.com,canonpalmer.com,0,0,{102862},0
castle.staffs.sch.uk,castle.staffs.sch.uk,1,1,{124091},0
catch-22.org.uk/include,catch-22.org.uk,0,1,{134441},0
chantlersprimary.net,chantlersprimary.net,0,0,"{105291,144831}",0
childwallabbeyschool.net,childwallabbeyschool.net,0,0,{134658},0
clipstonebrook.beds.sch.uk,clipstonebrook.beds.sch.uk,1,1,{109521},0
cloverfields.co.uk,cloverfields.co.uk,0,1,{140801},0
colehamprimary.co.uk,colehamprimary.co.uk,0,1,"{123389,144848}",0
constantine.cornwall.sch.uk,constantine.cornwall.sch.uk,1,1,"{111830,143168}",0
cottingham.focus-school.com,cottingham.focus-school.com,0,0,{134589},0
ctkacademy.co.uk,ctkacademy.co.uk,0,1,{141288},0
deanery@bham.sch.uk,bham.sch.uk,1,1,{103542},1
dinglewelljuniors.co.uk,dinglewelljuniors.co.uk,0,1,{115495},0
districtpru.co.uk,districtpru.co.uk,0,1,{135732},0
dormanstown.teesvalleyeducation.co.uk,dormanstown.teesvalleyeducation.co.uk,0,1,{139931},0
doveadolescenteservices.co.uk,doveadolescenteservices.co.uk,0,1,{135376},0
dunningtonprimary.co.uk,dunningtonprimary.co.uk,0,1,{121530},0
edenparkacademy.org.uk,edenparkacademy.org.uk,0,1,{132112},0
elvingtonprimary.org.uk,elvingtonprimary.org.uk,0,1,{121531},0
fairlandsmiddleschool.co.uk,fairlandsmiddleschool.co.uk,0,1,{123888},0
farmboroughchurchprimary.org.uk,farmboroughchurchprimary.org.uk,0,1,{109191},0
featherstoneacademy.co.uk,featherstoneacademy.co.uk,0,1,{141278},0
ficedu.org,ficedu.org,0,0,{124899},0
flanderwell.co.uk,flanderwell.co.uk,0,1,{141589},0
fletewoodschool.co.uk,fletewoodschool.co.uk,0,1,{113594},0
footsteps.uk.com,footsteps.uk.com,0,0,{141859},0
forestviewacademy.co.uk,forestviewacademy.co.uk,0,1,{143886},0
foxdell.org.uk,foxdell.org.uk,0,1,{109577},0
fulfordsp@bristol-city.gov.uk,bristol-city.gov.uk,0,1,{134526},1
gardenhouseschool.co.uk,gardenhouseschool.co.uk,0,1,{100522},0
gillinghamwyke.dorset.sch.uk,gillinghamwyke.dorset.sch.uk,1,1,{113743},0
godmanchesterbridge.co.uk,godmanchesterbridge.co.uk,0,1,{141690},0
gorseybank.net,gorseybank.net,0,0,"{111013,143011}",0
grasslot.cumbria.sch.uk,grasslot.cumbria.sch.uk,1,1,{112132},0
gulvalschool.org.uk,gulvalschool.org.uk,0,1,{140837},0
halewoodcollege.co.uk,halewoodcollege.co.uk,0,1,{104488},0
hallgreenprimary.co.uk,hallgreenprimary.co.uk,0,1,{103977},0
halstead-school.org.uk,halstead-school.org.uk,0,1,{125400},0
hanifahcommunity.org.uk,hanifahcommunity.org.uk,0,1,{134593},0
havelockschools.org.uk,havelockschools.org.uk,0,1,{140054},0
heathlandschool.net,heathlandschool.net,0,0,{102203},0
hhtp://www.dpcs.bardaglea.org.uk/,hhtp:,0,1,{101242},0
higharcal.co.uk,higharcal.co.uk,0,1,{103873},0
highfieldleadershipacademy.com,highfieldleadershipacademy.com,0,0,{142469},0
highfieldprimary.org.uk,highfieldprimary.org.uk,0,1,{134644},0
highfieldsschool.co.uk,highfieldsschool.co.uk,0,1,{122907},0
highspenprimary.org,highspenprimary.org,0,0,{108340},0
hilderthorpeinfants.eastriding.net,hilderthorpeinfants.eastriding.net,0,0,{117837},0
holgatemcs.co.uk,holgatemcs.co.uk,0,1,{126712},0
194.128.19.70/index.htm,194.128.19.70,0,0,{109478},0
195.173.130.83/devonshire/index.htm,195.173.130.83,0,0,{103942},0
448-northumberland.eschools.co.uk/website,448-northumberland.eschools.co.uk,0,1,{122254},0
9312597-public.sharepoint.com/,9312597-public.sharepoint.com,0,0,{139755},0
abbeywoodnurseryschool.co.uk/,abbeywoodnurseryschool.co.uk,0,1,{100099},0
abbotbeyne.staffs.sch.uk/,abbotbeyne.staffs.sch.uk,1,1,{124449},0
abrahamdarbyschool.taw.org.uk,abrahamdarbyschool.taw.org.uk,0,1,{123596},0
advancededucation.co.uk/our-schools/the-gables-school/,advancededucation.co.uk,0,1,{137868},0
aesessex.co.uk/,aesessex.co.uk,0,1,{137727},0
alashraaf.org.uk/,alashraaf.org.uk,0,1,{138980},0
al-hijrah.co.uk,al-hijrah.co.uk,0,1,{103590},0
allenton-derby.frogos.net/app/os#!/home,allenton-derby.frogos.net,0,0,{141324},0
allsaintschs.org.uk,allsaintschs.org.uk,0,1,{135479},0
allsaintsprimary.org,allsaintsprimary.org,0,0,{124706},0
almadinahschool.co.uk/,almadinahschool.co.uk,0,1,{138776},0
altwoodschool.co.uk,altwoodschool.co.uk,0,1,{110080},0
ameryhill.hants.sch.uk,ameryhill.hants.sch.uk,1,1,{116409},0
anfieldroadprimary.co.uk,anfieldroadprimary.co.uk,0,1,{140975},0
anlabyacreheads.org.uk,anlabyacreheads.org.uk,0,1,{117888},0
apthurrock.oliveacademies.org.uk/,apthurrock.oliveacademies.org.uk,0,1,{140861},0
archbishopthurstan.hull.sch.uk,archbishopthurstan.hull.sch.uk,1,1,{118114},0
arkallsaintsacademy.org/,arkallsaintsacademy.org,0,0,{139718},0
arkbolingbrokeacademy.org/,arkbolingbrokeacademy.org,0,0,{138267},0
arkboulton.org/,arkboulton.org,0,0,{140014},0
arkelvinacademy.org/,arkelvinacademy.org,0,0,{141019},0
arkhelenswood.org/,arkhelenswood.org,0,0,{139996},0
arkkingsacademy.org/,arkkingsacademy.org,0,0,{137578},0
arkprioryprimary.org/,arkprioryprimary.org,0,0,{139699},0
arkputney.org/,arkputney.org,0,0,{138681},0
arkstalbans.org/,arkstalbans.org,0,0,{135970},0
arkwilliamparkeracademy.org/,arkwilliamparkeracademy.org,0,0,{139821},0
armthorpeschool.org.uk,armthorpeschool.org.uk,0,1,{106782},0
arundelcourt.com/,arundelcourt.com,0,0,"{144194,140009}",0
ashburnhamcommunityschool.org.uk/,ashburnhamcommunityschool.org.uk,0,1,{100477},0
ashcrofthighschool.co.uk/,ashcrofthighschool.co.uk,0,1,{109707},0
ashs.org.uk/,ashs.org.uk,0,1,{121188},0
atschool.eduweb.co.uk/acrerigginf.durham/,atschool.eduweb.co.uk,0,1,{114153},0
atschool.eduweb.co.uk/admin.hermitage/,atschool.eduweb.co.uk,0,1,{114290},0
atschool.eduweb.co.uk/ascham/,atschool.eduweb.co.uk,0,1,{108543},0
atschool.eduweb.co.uk/bowburni.durham/,atschool.eduweb.co.uk,0,1,{114088},0
atschool.eduweb.co.uk/bpark.durham/,atschool.eduweb.co.uk,0,1,{114129},0
atschool.eduweb.co.uk/brandoninf.durham/,atschool.eduweb.co.uk,0,1,{114158},0
atschool.eduweb.co.uk/brandonjun.durham/,atschool.eduweb.co.uk,0,1,{114157},0
atschool.eduweb.co.uk/brearley/informat.htm,atschool.eduweb.co.uk,0,1,{103121},0
atschool.eduweb.co.uk/browney.durham/,atschool.eduweb.co.uk,0,1,{114121},0
atschool.eduweb.co.uk/chatmsth/,atschool.eduweb.co.uk,0,1,{118827},0
atschool.eduweb.co.uk/chiltonjun.durham/,atschool.eduweb.co.uk,0,1,{114076},0
atschool.eduweb.co.uk/dcastle/index.html,atschool.eduweb.co.uk,0,1,{118825},0
atschool.eduweb.co.uk/effra/,atschool.eduweb.co.uk,0,1,{100562},0
atschool.eduweb.co.uk/hamstead,atschool.eduweb.co.uk,0,1,{103516},0
atschool.eduweb.co.uk/homewood/,atschool.eduweb.co.uk,0,1,{118880},0
atschool.eduweb.co.uk/hsteels.durham/,atschool.eduweb.co.uk,0,1,{114036},0
atschool.eduweb.co.uk/ianwade/index.html,atschool.eduweb.co.uk,0,1,{118909},0
atschool.eduweb.co.uk/inewton/index.html,atschool.eduweb.co.uk,0,1,{118107},0
atschool.eduweb.co.uk/irthlingbor/,atschool.eduweb.co.uk,0,1,{121832},0
atschool.eduweb.co.uk/kjames.durham/,atschool.eduweb.co.uk,0,1,{114306},0
atschool.eduweb.co.uk/langley.prep/index.html,atschool.eduweb.co.uk,0,1,{121236},0
atschool.eduweb.co.uk/loughinf/index.html,atschool.eduweb.co.uk,0,1,{100603},0
atschool.eduweb.co.uk/lumbertubs.north,atschool.eduweb.co.uk,0,1,{121929},0
atschool.eduweb.co.uk/murphycres/,atschool.eduweb.co.uk,0,1,{114344},0
atschool.eduweb.co.uk/myers/index.html,atschool.eduweb.co.uk,0,1,{107132},0
atschool.eduweb.co.uk/noads/,atschool.eduweb.co.uk,0,1,{116415},0
atschool.eduweb.co.uk/northrd.durham/info.htm,atschool.eduweb.co.uk,0,1,{114084},0
atschool.eduweb.co.uk/peltonin.durham/,atschool.eduweb.co.uk,0,1,{114011},0
atschool.eduweb.co.uk/ramsgate/index.html,atschool.eduweb.co.uk,0,1,{118820},0
atschool.eduweb.co.uk/sdrop.durham/,atschool.eduweb.co.uk,0,1,{114302},0
atschool.eduweb.co.uk/shield.durham/orderform.html,atschool.eduweb.co.uk,0,1,{114194},0
atschool.eduweb.co.uk/shipsea/,atschool.eduweb.co.uk,0,1,{114131},0
atschool.eduweb.co.uk/silverstone,atschool.eduweb.co.uk,0,1,{121990},0
atschool.eduweb.co.uk/southbrookjun,atschool.eduweb.co.uk,0,1,{121895},0
atschool.eduweb.co.uk/stjohnscoleford/,atschool.eduweb.co.uk,0,1,{115618},0
atschool.eduweb.co.uk/stmich,atschool.eduweb.co.uk,0,1,{103405},0
atschool.eduweb.co.uk/st.thomas-more,atschool.eduweb.co.uk,0,1,{122050},0
atschool.eduweb.co.uk/thornleyrc.durham/,atschool.eduweb.co.uk,0,1,{114277},0
atschool.eduweb.co.uk/umoorinf.durham/,atschool.eduweb.co.uk,0,1,{114124},0
atschool.eduweb.co.uk/umoorjun.durham/,atschool.eduweb.co.uk,0,1,{114123},0
atschool.eduweb.co.uk/vdunne210/index.html,atschool.eduweb.co.uk,0,1,{104492},0
atschool.eduweb.co.uk/waleshs/,atschool.eduweb.co.uk,0,1,{106961},0
atschool.eduweb.co.uk/westonroad/,atschool.eduweb.co.uk,0,1,{124446},0
atschool.eduweb.co.uk/whousejun.durham/,atschool.eduweb.co.uk,0,1,{114117},0
atschool.eduweb.co.uk/whshw/,atschool.eduweb.co.uk,0,1,{110513},0
atschool.eduweb.co.uk/wilnecote-high/index.html,atschool.eduweb.co.uk,0,1,{124420},0
axevalley.devon.sch.uk/,axevalley.devon.sch.uk,1,1,{113497},0
aylestone.org.uk/,aylestone.org.uk,0,1,{116936},0
baines.lancs.sch.uk/,baines.lancs.sch.uk,1,1,{119813},0
bamburghschool.co.uk,bamburghschool.co.uk,0,1,{108738},0
bankfieldsprimary.co.uk,bankfieldsprimary.co.uk,0,1,{111604},0
banksststephens.easyschoolwebsite.com/,banksststephens.easyschoolwebsite.com,0,0,{119384},0
barlowhallprimary.co.uk/,barlowhallprimary.co.uk,0,1,"{105484,144128}",0
barnesinfant.org.uk/,barnesinfant.org.uk,0,1,{141045},0
barrow.shropshire.digitalbrain.com,barrow.shropshire.digitalbrain.com,0,0,{123533},0
bca.warrington.ac.uk/,bca.warrington.ac.uk,0,1,{139196},0
bccs.bristol.sch.uk/,bccs.bristol.sch.uk,1,1,{135575},0
bchs.uk.net/,bchs.uk.net,0,0,{122360},0
beaconhill.cumbria.sch.uk/,beaconhill.cumbria.sch.uk,1,1,{112375},0
beaminster.dorset.sch.uk/,beaminster.dorset.sch.uk,1,1,{113884},0
bedfordacademy.co.uk/,bedfordacademy.co.uk,0,1,{136085},0
bedminsterdown.net/,bedminsterdown.net,0,0,{138204},0
beehive.thisisderbyshire.co.uk/default.asp?wci=sitehome&id=37,beehive.thisisderbyshire.co.uk,0,1,{112696},0
beehive.thisisderbyshire.co.uk/default.asp?wci=sitehome&id=46,beehive.thisisderbyshire.co.uk,0,1,{112997},0
beehive.thisisgrimsby.co.uk/default.asp?wci=sitehome&id=1322,beehive.thisisgrimsby.co.uk,0,1,{118065},0
bellevuegirls.wix.com/,bellevuegirls.wix.com,0,0,{138087},0
benjaminbrittenhighschool.co.uk.gridhosted.co.uk/,benjaminbrittenhighschool.co.uk.gridhosted.co.uk,0,1,{124851},0
bexhill.wiseacademies.co.uk,bexhill.wiseacademies.co.uk,0,1,{136487},0
bidefordcollege.org,bidefordcollege.org,0,0,{113516},0
birstall.kgfl.digitalbrain.com,birstall.kgfl.digitalbrain.com,0,0,{107635},0
bishopwalsh.net/,bishopwalsh.net,0,0,{140524},0
bismoscow.com/,bismoscow.com,0,0,{144810},0
bismoscow.com/schools/secondary_school/school_3/,bismoscow.com,0,0,{144980},0
blackfriars.set-mat.co.uk/,blackfriars.set-mat.co.uk,0,1,{141448},0
boldonschool.com/,boldonschool.com,0,0,{108730},0
bostonwestprimary.co.uk,bostonwestprimary.co.uk,0,1,{120426},0
bradfordchristianschool.com,bradfordchristianschool.com,0,0,{107461},0
bradford.schooljotter.com/stannes/welcome,bradford.schooljotter.com,0,0,{107344},0
bradleyinf.kgfl.digitalbrain.com,bradleyinf.kgfl.digitalbrain.com,0,0,{107704},0
branfil.havering.sch.uk/,branfil.havering.sch.uk,1,1,{135588},0
breckland.iesschools.co.uk/,breckland.iesschools.co.uk,0,1,{138250},0
bridgnorthendowed.co.uk/,bridgnorthendowed.co.uk,0,1,{139143},0
brineleas.co.uk/,brineleas.co.uk,0,1,{136279},0
britishschoolbg.com/en,britishschoolbg.com,0,0,{142484},0
brockholes.schooljotter2.com/,brockholes.schooljotter2.com,0,0,{107713},0
brooksideprimary.com,brooksideprimary.com,0,0,{106036},0
brymoreacademy.co.uk/,brymoreacademy.co.uk,0,1,{139655},0
bucklersmead.com/,bucklersmead.com,0,0,{137193},0
buglawtonhall-ebsd.co.uk/,buglawtonhall-ebsd.co.uk,0,1,{105604},0
builehillvisualartscollege.co.uk/,builehillvisualartscollege.co.uk,0,1,"{143059,105974}",0
burlingtondanes.org/,burlingtondanes.org,0,0,{131752},0
burnleyhighschool.co.uk/,burnleyhighschool.co.uk,0,1,{141028},0
burychurch.bury.sch.uk/,burychurch.bury.sch.uk,1,1,{105365},0
bwfreeschool.ac.uk/,bwfreeschool.ac.uk,0,1,{141081},0
caldershaw-rochdale.frogos.net,caldershaw-rochdale.frogos.net,0,0,{105779},0
caldew.cumbria.sch.uk/,caldew.cumbria.sch.uk,1,1,{137254},0
calthorpepark.hants.sch.uk/,calthorpepark.hants.sch.uk,1,1,{116436},0
carletonhigh.co.uk/,carletonhigh.co.uk,0,1,{139501},0
carmel.org.uk/,carmel.org.uk,0,1,{137622},0
castertoncollege.com/,castertoncollege.com,0,0,{137340},0
castleacademy.northants.sch.uk/,castleacademy.northants.sch.uk,1,1,{140362},0
ccfl.camden.sch.uk,ccfl.camden.sch.uk,1,1,"{134643,100006,100092}",0
centraltech.school-site5.net/,centraltech.school-site5.net,0,0,{120722},0
chadwellacademy.org.uk/,chadwellacademy.org.uk,0,1,{136267},0
chalkhills.thesharedlearningtrust.org.uk,chalkhills.thesharedlearningtrust.org.uk,0,1,{135337},0
challonershigh.com/,challonershigh.com,0,0,{137219},0
charlton.kent.sch.uk,charlton.kent.sch.uk,1,1,{118747},0
charteracademy.org.uk/,charteracademy.org.uk,0,1,{135965},0
chauncyschool.com/,chauncyschool.com,0,0,{137090},0
chelsea-academy.org/,chelsea-academy.org,0,0,{135531},0
cherryhinton.cambs.sch.uk,cherryhinton.cambs.sch.uk,1,1,{110801},0
chestertoncc.net/,chestertoncc.net,0,0,{136887},0
childsercall.shropshire.digitalbrain.com,childsercall.shropshire.digitalbrain.com,0,0,{123466},0
christchurchcressage.co.uk/,christchurchcressage.co.uk,0,1,{123471},0
churchmead.org/,churchmead.org,0,0,{133580},0
churnetview.staffs.sch.uk/,churnetview.staffs.sch.uk,1,1,"{142696,124436}",0
cityacademynorwich.org/,cityacademynorwich.org,0,0,{135904},0
cjmlc.co.uk/,cjmlc.co.uk,0,1,{137994},0
clactoncoastalacademy.org/,clactoncoastalacademy.org,0,0,{135957},0
clc2.uniservity.com/,clc2.uniservity.com,0,0,{111269},0
clc2.uniservity.com/grouphomepage.asp?groupid=693797,clc2.uniservity.com,0,0,{105007},0
clients.thisisthenortheast.co.uk/middleton/,clients.thisisthenortheast.co.uk,0,1,{114160},0
colgate.eschools.co.uk/website,colgate.eschools.co.uk,0,1,{125825},0
collectivespirit.org.uk/,collectivespirit.org.uk,0,1,{139970},0
coltonhills.co.uk/,coltonhills.co.uk,0,1,{104395},0
comptonallsaints.co.uk,comptonallsaints.co.uk,0,1,{116354},0
copnorprimary.co.uk/,copnorprimary.co.uk,0,1,{141096},0
copthall.barnet.lgfl.net,copthall.barnet.lgfl.net,0,0,{101349},0
corbridgemiddle.weebly.com/,corbridgemiddle.weebly.com,0,0,{122326},0
cornerstoneprimary.hants.sch.uk/,cornerstoneprimary.hants.sch.uk,1,1,{139548},0
cottingleyprimaryacademy.org/,cottingleyprimaryacademy.org,0,0,{138973},0
countyhigh.org.uk,countyhigh.org.uk,0,1,{115360},0
cowleyinternationalcollege.com/,cowleyinternationalcollege.com,0,0,{104829},0
cpgs.school.hants.gov.uk/,cpgs.school.hants.gov.uk,0,1,{116460},0
crawfords.schools.uk.com,crawfords.schools.uk.com,0,0,{124733},0
createstudiogoole.co.uk/,createstudiogoole.co.uk,0,1,{139833},0
creative.davinci-school.co.uk/,creative.davinci-school.co.uk,0,1,{139902},0
crestwood.hants.sch.uk/,crestwood.hants.sch.uk,1,1,{116445},0
cromwellpark.co.uk,cromwellpark.co.uk,0,1,{132071},0
cttc.staffs.sch.uk/,cttc.staffs.sch.uk,1,1,"{143899,124443}",0
culchethhigh.org.uk/,culchethhigh.org.uk,0,1,{111430},0
cullodenacademy.paradigmtrust.org/,cullodenacademy.paradigmtrust.org,0,0,{140064},0
curledgestreetacademy.org,curledgestreetacademy.org,0,0,{138772},0
cvcweb.net/,cvcweb.net,0,0,{137434},0
dale.derby.sch.uk,dale.derby.sch.uk,1,1,{112720},0
dalton-stmichaels.co.uk/,dalton-stmichaels.co.uk,0,1,{119493},0
danecourt.kent.sch.uk/,danecourt.kent.sch.uk,1,1,{136585},0
dartoncollege.co.uk/,dartoncollege.co.uk,0,1,{106651},0
dawleyce.taw.org.uk,dawleyce.taw.org.uk,0,1,{123544},0
deantrustardwick.co.uk/,deantrustardwick.co.uk,0,1,{141884},0
delamere.trafford.sch.uk,delamere.trafford.sch.uk,1,1,{106394},0
denhamgreene-actprimaryacademy.org.uk/,denhamgreene-actprimaryacademy.org.uk,0,1,{139679},0
denmeadinfantschool.co.uk/,denmeadinfantschool.co.uk,0,1,{115882},0
dggs.kent.sch.uk/,dggs.kent.sch.uk,1,1,{118806},0
digitechstudioschool.co.uk/,digitechstudioschool.co.uk,0,1,{142079},0
dimplewell.wakefield.sch.uk,dimplewell.wakefield.sch.uk,1,1,{108171},0
dohabritishschool.com,dohabritishschool.com,0,0,{142483},0
dorsetstudioschool.co.uk/,dorsetstudioschool.co.uk,0,1,{140977},0
downlands.w-sussex.sch.uk/,downlands.w-sussex.sch.uk,1,1,{126087},0
drapersmillsprimary.org.uk,drapersmillsprimary.org.uk,0,1,{118407},0
ducklington.oxon.sch.uk/,ducklington.oxon.sch.uk,1,1,{123107},0
durhamfederation.net/,durhamfederation.net,0,0,"{114311,114289}",0
dwhs.co.uk/,dwhs.co.uk,0,1,{101930},0
earlmortimer.org.uk/,earlmortimer.org.uk,0,1,{116941},0
eastgateacademy.co.uk/,eastgateacademy.co.uk,0,1,{140663},0
eastkent.ac.uk/,eastkent.ac.uk,0,1,{130728},0
eastlondonscienceschool.co.uk/,eastlondonscienceschool.co.uk,0,1,{139834},0
eastwood.southend.sch.uk/,eastwood.southend.sch.uk,1,1,{137284},0
ebnacademy.co.uk/,ebnacademy.co.uk,0,1,"{141739,138775}",0
edenparkacademy.org.uk/,edenparkacademy.org.uk,0,1,{139733},0
edweb.camcnty.gov.uk/schools/burnsfield/index.html,edweb.camcnty.gov.uk,0,1,{110628},0
edweb.camcnty.gov.uk/schools/histonjun/index.html,edweb.camcnty.gov.uk,0,1,{110751},0
edweb.camcnty.gov.uk/schools/huntingdon_nursery,edweb.camcnty.gov.uk,0,1,"{110598,110629}",0
edweb.camcnty.gov.uk/schools/miltonrdinf/index.html,edweb.camcnty.gov.uk,0,1,{110656},0
edweb.camcnty.gov.uk/schools/peckover/peckover%20home.htm,edweb.camcnty.gov.uk,0,1,{110652},0
edweb.camcnty.gov.uk/schools/staugustines/home.htm,edweb.camcnty.gov.uk,0,1,{110805},0
elam.co.uk/,elam.co.uk,0,1,{141095},0
eleanorsmith.newham.sch.uk/,eleanorsmith.newham.sch.uk,1,1,"{102793,143275}",0
endon.staffs.sch.uk/,endon.staffs.sch.uk,1,1,{124401},0
epinay.org/,epinay.org,0,0,{108741},0
eskdale-school.co.uk/,eskdale-school.co.uk,0,1,{121668},0
evelyngraceacademy.org/,evelyngraceacademy.org,0,0,{135389},0
ewsacademy.org.uk/,ewsacademy.org.uk,0,1,{139100},0
exmouthcollege.devon.sch.uk/,exmouthcollege.devon.sch.uk,1,1,{136612},0
eynsham.oxon.digitalbrain.com,eynsham.oxon.digitalbrain.com,0,0,{123010},0
fairmountschool.co.uk,fairmountschool.co.uk,0,1,{131664},0
fallibroome.academy/,fallibroome.academy,0,0,{136278},0
fawkhamschool.com,fawkhamschool.com,0,0,{118592},0
fc.tchs.uk.net/,fc.tchs.uk.net,0,0,{102860},0
felixstoweacademy.org/,felixstoweacademy.org,0,0,{137321},0
fender-wirral.frogos.net/app/os#!website/home,fender-wirral.frogos.net,0,0,{105039},0
fernmid.dorset.sch.uk/,fernmid.dorset.sch.uk,1,1,{113878},0
ffc.ac.uk,ffc.ac.uk,0,1,{131875},0
fhes.org.uk,fhes.org.uk,0,1,{139486},0
fhs.essex.sch.uk,fhs.essex.sch.uk,1,1,{115222},0
finhampark.co.uk/,finhampark.co.uk,0,1,{136963},0
finhampark.demon.co.uk/index.html,finhampark.demon.co.uk,0,1,{103738},0
firvale.com/,firvale.com,0,0,{138925},0
flhs.org.uk/,flhs.org.uk,0,1,{137448},0
flockton.kgfl.digitalbrain.com,flockton.kgfl.digitalbrain.com,0,0,{107714},0
fordwater.myedupress.co.uk/,fordwater.myedupress.co.uk,0,1,{126163},0
fordway.scc.surrey.sch.uk,fordway.scc.surrey.sch.uk,1,1,{124916},0
franchefirst.org.uk,franchefirst.org.uk,0,1,{116694},0
furzeinfants.schooljotter2.com,furzeinfants.schooljotter2.com,0,0,{101203},0
futuretech.studio,futuretech.studio,0,0,{140620},0
ga.digitalbrain.com,ga.digitalbrain.com,0,0,{125265},0
garstangcommunityacademy.com/,garstangcommunityacademy.com,0,0,{137342},0
gateway.dorothy-stringer.co.uk/,gateway.dorothy-stringer.co.uk,0,1,{114580},0
gcms.learn-together.org,gcms.learn-together.org,0,0,{124805},0
gglvfederation.org/grinling-gibbons/about.html,gglvfederation.org,0,0,{100685},0
glebe.eschools.co.uk,glebe.eschools.co.uk,0,1,{125913},0
glenfieldps.pbwiki.com,glenfieldps.pbwiki.com,0,0,{120074},0
globeacademy.org/,globeacademy.org,0,0,{135584},0
gomersal.schooljotter2.com/home,gomersal.schooljotter2.com,0,0,{107666},0
go.to/becketsch,go.to,0,0,{122896},0
gps.n-yorks.sch.uk,gps.n-yorks.sch.uk,1,1,{121674},0
grangeschool.net,grangeschool.net,0,0,"{109735,139374}",0
gravesendgrammar.eu/,gravesendgrammar.eu,0,0,{137099},0
greatbartonprimaryschool.co.uk/contact-us/,greatbartonprimaryschool.co.uk,0,1,"{124697,142547}",0
greatfieldsschool.com/,greatfieldsschool.com,0,0,{142908},0
greatlinfordprimaryschool.co.uk/,greatlinfordprimaryschool.co.uk,0,1,{110366},0
greenacreacademytrust.co.uk/chantry/,greenacreacademytrust.co.uk,0,1,{139254},0
greenfieldprimary.net/,greenfieldprimary.net,0,0,{132226},0
greenlaneinfantschool.co.uk,greenlaneinfantschool.co.uk,0,1,{120007},0
greenlaneschool.co.uk,greenlaneschool.co.uk,0,1,{111495},0
greenstreetgreenprimary.co.uk/,greenstreetgreenprimary.co.uk,0,1,{137067},0
grettonprimary.org.uk,grettonprimary.org.uk,0,1,{121823},0
hackneynewprimaryschool.org,hackneynewprimaryschool.org,0,0,{142112},0
hackneynewschool.org/,hackneynewschool.org,0,0,{139595},0
hadleylearningcommunity.org.uk/,hadleylearningcommunity.org.uk,0,1,{133708},0
hallcrossacademy.co.uk/,hallcrossacademy.co.uk,0,1,{137842},0
hamilton-college.co.uk/,hamilton-college.co.uk,0,1,{120285},0
hammersmithacademy.org,hammersmithacademy.org,0,0,{136172},0
hamptonacademy.org.uk/,hamptonacademy.org.uk,0,1,{136103},0
hardwick.school.future.easyspace.com/,hardwick.school.future.easyspace.com,0,0,{121898},0
harrycarlton.co.uk,harrycarlton.co.uk,0,1,{122868},0
hartsdown.org/,hartsdown.org,0,0,{136571},0
hathawayacademy.attrust.org.uk/,hathawayacademy.attrust.org.uk,0,1,{139578},0
haworth.schooljotter2.com,haworth.schooljotter2.com,0,0,"{107260,142949}",0
hccs.info/,hccs.info,0,0,{137449},0
head@kingswood-jun.northants-ecl.gov.uk,kingswood-jun.northants-ecl.gov.uk,0,1,{121890},1
heartlands.haringey.sch.uk/,heartlands.haringey.sch.uk,1,1,{139616},0
heatherprimaryschool.co.uk/,heatherprimaryschool.co.uk,0,1,{119926},0
heathpark.net/,heathpark.net,0,0,{137730},0
heltwate.co.uk,heltwate.co.uk,0,1,{110948},0
